Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
NVDA,NVIDIA Corporation,225.01,USD,-0.06661929294724005,93675880,0.8205897331825412,5445242088563.96,USD,34.45894208092131,6.5298,USD,110.33338701884364,0.12435601350151,Electronic technology,Strong buy
AAPL,Apple Inc.,305.59,USD,-0.11113653450136692,38169143,0.8197963330612517,4459835263931.044,USD,35.03146744924512,8.7233,USD,32.60922440789274,0.343215768313013,Electronic technology,Buy
GOOGL,Alphabet Inc.,344,USD,-0.5492917028042722,18291242,0.6647735390820743,4194147934353.0034,USD,17.28182946250496,19.9053,USD,112.01789423230548,0.245735761780862,Technology services,Strong buy
GOOG,Alphabet Inc.,341.45,USD,-0.6083716597776189,12606095,0.6989943052632283,4191656347478.017,USD,17.153722877826507,19.9053,USD,112.01789423230548,0.247423880770798,Technology services,Strong buy
MSFT,Microsoft Corporation,480.35,USD,-3.0379491320145244,29634708,0.8757138645383926,3566860693823.02,USD,26.76730527043142,17.9454,USD,31.54908515130189,0.718611223253936,Technology services,Strong buy
AMZN,"Amazon.com, Inc.",261.31,USD,-0.5101846563868171,43896497,1.0275009375465345,2818571764247.689,USD,21.018129755642423,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,430.97,USD,1.0836167468042697,9478707,0.9051803144555526,1937335595495.4238,USD,31.10573800072176,13.855,USD,57.778461047908635,0.647728157616981,Electronic technology,Strong buy
AVGO,Broadcom Inc.,392.43,USD,-0.1424972645614398,20042026,1.1281514368812557,1867017103664.4546,USD,65.32878308639921,6.007,USD,125.81008946695735,0.646326878546528,Electronic technology,Strong buy
META,"Meta Platforms, Inc.",568.97,USD,-3.5398830211070607,17225372,1.179205262527798,1449454505050.3794,USD,21.43198845851053,26.5477,USD,-3.857269092594742,0.356022717640078,Technology services,Strong buy
TSLA,"Tesla, Inc.",339.3,USD,-0.867735997896389,26034705,0.8082020294895277,1340081460183.479,USD,315.2466784353805,1.0763,USD,-37.67083622886263,0,Consumer durables,Buy
